,list_date,description.year_built,description.baths_3qtr,description.sold_date,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.garage,description.stories,description.beds,location.address.state,location.address.city,basement,central_air,community_outdoor_space,dishwasher,fireplace,forced_air,hardwood_floors,laundry_room,recreation_facilities,shopping,washer_dryer,apartment,condos,duplex_triplex,land,mobile,multi_family,single_family,townhomes,interest_rate
1585,1702151259.0,1982.0,0.0,1705017600.0,2.0,1.0,3920.0,1792.0,3.0,0.0,2.0,3.0,313479.05511811026,313479.05511811026,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.33
618,1691274301.0,1973.0,0.0,1703721600.0,2.0,0.0,9344.0,1994.0,2.0,2.0,1.0,3.0,447795.6153846154,457283.7916666667,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.33
7466,1702565852.0,1950.0,0.0,1705017600.0,2.0,0.0,7841.0,1431.0,2.0,0.0,1.0,4.0,381542.78571428574,344168.5714285714,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.33
373,1700156202.0,1939.0,0.0,1704931200.0,2.0,0.0,7841.0,2300.0,2.0,0.0,2.0,4.0,239309.83606557376,243946.55172413794,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.33
3429,1696565801.0,1900.0,0.0,1704412800.0,3.0,0.0,39204.0,3800.0,3.0,0.0,4.0,4.0,546702.2359550562,546702.2359550562,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
5330,1697908446.0,1996.0,0.0,1704412800.0,2.0,0.0,10454.0,2174.0,2.0,3.0,1.0,3.0,466018.73214285716,466018.73214285716,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,5.33
5943,1699518344.0,1948.0,0.0,1705017600.0,1.0,0.0,8350.0,916.0,1.0,1.0,1.0,2.0,283243.6614173228,255832.25806451612,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.33
6587,1701729091.0,1960.0,0.0,1704844800.0,1.0,1.0,6482.0,1517.0,2.0,2.0,2.0,3.0,458996.5652173913,458996.5652173913,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
181,1691505147.0,1989.0,0.0,1704412800.0,3.0,0.0,22651.0,3137.0,3.0,0.0,1.0,4.0,172763.26515151514,172763.26515151514,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,5.33
220,1699209896.0,1948.0,0.0,1704412800.0,1.0,0.0,7405.0,1290.0,1.0,1.0,1.0,3.0,172763.26515151514,172763.26515151514,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.33
370,1701368605.0,1940.0,0.0,1704931200.0,2.0,0.0,11761.0,2184.0,2.0,3.0,1.0,4.0,239309.83606557376,243946.55172413794,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.33
7676,1699487764.0,1940.0,1.0,1704758400.0,0.0,0.0,13939.0,720.0,1.0,0.0,1.0,1.0,449961.6666666667,449909.4017094017,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5.33
2576,1698176516.0,2005.0,0.0,1702252800.0,2.0,1.0,11326.0,2246.0,3.0,2.0,2.0,3.0,238092.4406779661,240520.9391304348,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5.33
1822,1703019296.0,1963.0,0.0,1704672000.0,2.0,0.0,932.0,1256.0,2.0,0.0,3.0,2.0,365049.173553719,343749.51923076925,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5.33
4875,1694563752.0,1914.0,0.0,1703203200.0,1.0,0.0,1412.0,1101.0,1.0,0.0,2.0,3.0,244447.15447154472,183784.94623655913,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5.33
553,1697754349.0,2019.0,0.0,1703203200.0,4.0,0.0,5751.0,3085.0,4.0,3.0,2.0,5.0,447795.6153846154,457283.7916666667,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5.33
1767,1694722453.0,2014.0,0.0,1704844800.0,3.0,1.0,1002.0,2140.0,4.0,2.0,3.0,3.0,365049.173553719,531857.1428571428,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5.33
5415,1698248410.0,1930.0,0.0,1704672000.0,1.0,1.0,6534.0,1632.0,2.0,0.0,2.0,4.0,260635.74626865672,250075.95041322315,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,5.33
7687,1692641761.0,1921.0,0.0,1704153600.0,1.0,0.0,6896.0,1165.0,1.0,1.0,2.0,3.0,449961.6666666667,449909.4017094017,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5.33
7845,1695312603.0,1958.0,0.0,1704672000.0,2.0,1.0,9583.0,2022.0,3.0,2.0,1.0,3.0,434089.0,435382.5581395349,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,5.33
2697,1700160184.0,2003.0,0.0,1702598400.0,2.0,1.0,13068.0,2595.0,3.0,2.0,2.0,3.0,238092.4406779661,240520.9391304348,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,5.33
6275,1694617527.0,1913.0,0.0,1704326400.0,2.0,0.0,2178.0,1330.0,2.0,0.0,2.0,4.0,239801.9642857143,239801.9642857143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.33
4648,1697589332.0,1989.0,1.0,1705017600.0,1.0,0.0,4356.0,2636.0,2.0,2.0,2.0,2.0,336884.1216216216,336884.1216216216,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.33
5211,1701700615.0,2021.0,0.0,1704153600.0,2.0,1.0,1742.0,1460.0,3.0,1.0,2.0,3.0,466018.73214285716,466018.73214285716,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,5.33
3822,1700667743.0,1960.0,0.0,1704153600.0,2.0,0.0,9017.0,1826.0,2.0,0.0,2.0,3.0,175455.03875968992,175455.03875968992,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5.33
5833,1702427151.0,2008.0,0.0,1705017600.0,2.0,0.0,6970.0,1101.0,2.0,2.0,1.0,3.0,283243.6614173228,185000.0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5.33
1574,1700321183.0,1967.0,0.0,1704844800.0,1.0,0.0,871.0,710.0,1.0,0.0,2.0,1.0,313479.05511811026,313479.05511811026,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5.33
1909,1698343747.0,1920.0,0.0,1704672000.0,1.0,0.0,4356.0,1086.0,1.0,0.0,1.0,2.0,365049.173553719,343749.51923076925,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,5.33
