,list_date,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,location.address.postal_code,location.address.state,location.address.city,location.address.state_code,location.county.name,basement,central_air,community_outdoor_space,dishwasher,fireplace,forced_air,hardwood_floors,laundry_room,recreation_facilities,shopping,washer_dryer,apartment,condos,duplex_triplex,land,mobile,multi_family,single_family,townhomes
51,2023-10-24T22:03:07.000000Z,1962.0,0.0,2024-01-08,150000.0,2.0,0.0,67954.0,1833.0,2.0,,2.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
52,2023-09-08T14:32:07.000000Z,1945.0,0.0,2024-01-08,170000.0,2.0,1.0,313632.0,3092.0,3.0,,0.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
53,2023-11-06T18:42:05.000000Z,1957.0,0.0,2024-01-05,125000.0,1.0,0.0,12632.0,1380.0,1.0,,0.0,1.0,3.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,2023-11-09T19:26:26.000000Z,1984.0,0.0,2024-01-05,162000.0,2.0,0.0,6098.0,1539.0,2.0,,0.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
55,2023-11-09T16:29:22.000000Z,1950.0,0.0,2024-01-05,111200.0,2.0,0.0,8276.0,1178.0,2.0,,0.0,1.0,3.0,36107,Alabama,Montgomery,AL,Montgomery,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0
56,2023-11-05T18:44:56.000000Z,1948.0,0.0,2024-01-05,63000.0,1.0,0.0,7405.0,1290.0,1.0,,1.0,1.0,3.0,36107,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
57,2023-10-23T18:51:02.000000Z,1964.0,0.0,2024-01-05,106000.0,2.0,0.0,16553.0,2349.0,2.0,,0.0,1.0,4.0,36111,Alabama,Montgomery,AL,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,2023-10-17T22:03:02.000000Z,2001.0,0.0,2024-01-05,245000.0,2.0,0.0,6534.0,1742.0,2.0,,2.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
59,2023-08-08T14:32:27.000000Z,1989.0,0.0,2024-01-05,310000.0,3.0,0.0,22651.0,3137.0,3.0,,0.0,1.0,4.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
60,2023-09-21T19:38:23.000000Z,1950.0,0.0,2024-01-05,100000.0,1.0,0.0,15682.0,1471.0,1.0,,0.0,1.0,3.0,36109,Alabama,Montgomery,AL,Montgomery,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,2023-12-04T21:26:28.000000Z,1971.0,0.0,2024-01-05,95900.0,1.0,1.0,10664.0,1200.0,2.0,,0.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
62,2023-09-21T17:39:14.000000Z,1940.0,0.0,2024-01-04,375000.0,3.0,1.0,30056.0,4483.0,4.0,,2.0,2.0,4.0,36111,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
63,2023-12-02T15:38:34.000000Z,2004.0,0.0,2024-01-04,320000.0,2.0,0.0,9583.0,2488.0,2.0,,2.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
64,2023-10-05T13:47:17.000000Z,1971.0,0.0,2024-01-04,120000.0,2.0,0.0,10019.0,1747.0,2.0,,0.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,2023-11-10T22:41:34.000000Z,1994.0,0.0,2024-01-03,283000.0,2.0,0.0,13747.0,2069.0,2.0,,2.0,1.0,4.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
66,2023-11-15T22:35:40.000000Z,1994.0,0.0,2024-01-02,284500.0,2.0,0.0,15682.0,2124.0,2.0,,0.0,1.0,4.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
67,2023-11-08T13:11:39.000000Z,1989.0,0.0,2024-01-02,160000.0,2.0,0.0,4792.0,1475.0,2.0,,0.0,1.0,2.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
68,2023-09-22T04:03:13.000000Z,2022.0,0.0,2024-01-02,439900.0,3.0,1.0,4356.0,3050.0,4.0,,2.0,2.0,4.0,36117,Alabama,Montgomery,AL,Montgomery,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
