,location.address.city,description.baths,fireplace,description.sqft,condos,townhomes,location.address.state,description.baths_full,single_family,description.garage
1156,0.0597700753521767,0.902282484275474,0,0.8753744419230598,0,0,0.0628132653893669,1.5553035557973776,0,-1.0230312769599528
1539,-0.1852849845483456,-0.2302375994358108,0,-0.8129132996522684,0,0,-0.1947187591537164,0.2499055713441416,0,-1.0230312769599528
5978,-0.6591743793409661,-0.2302375994358108,1,0.4592737401647324,0,0,-0.4559258745991878,0.2499055713441416,1,1.871929570607573
2914,-0.7869177282321108,-1.3627576831470956,0,-1.1787299286905562,0,0,-0.8269836002681431,-1.055492413109094,1,-1.0230312769599528
6416,-0.7909524937455145,-1.3627576831470956,0,-1.3496957759386907,0,0,-0.8312237956415635,-1.055492413109094,1,-1.0230312769599528
411,-0.7568816323404362,-0.2302375994358108,0,0.4806444710707492,0,0,-0.8354753491051743,0.2499055713441416,1,1.871929570607573
1526,-0.1852849845483456,0.902282484275474,0,-0.745029801480215,1,0,-0.1947187591537164,1.5553035557973776,0,-1.0230312769599528
4578,0.0071179479184547,-0.2302375994358108,0,-1.0706191723424712,0,0,0.0074803578378508,-1.055492413109094,1,-0.0580443277707774
2572,-0.7850421123982393,-0.2302375994358108,1,-0.4357827542519717,0,0,-0.8459925707660034,0.2499055713441416,1,0.9069426214183978
5994,0.3793969998030632,0.902282484275474,1,1.197192507331313,0,0,-0.4559258745991878,0.2499055713441416,1,1.871929570607573
6435,-0.7909524937455145,-0.2302375994358108,0,1.6786625036256917,0,0,-0.8312237956415635,0.2499055713441416,0,-1.0230312769599528
6811,-0.6521219061028993,-0.2302375994358108,1,-0.9247953614543564,0,0,-0.6699353025147827,0.2499055713441416,1,-1.0230312769599528
7547,0.936249908663273,-0.2302375994358108,0,0.6314966892308679,0,0,0.9843705433988322,0.2499055713441416,0,-1.0230312769599528
1777,1.6099068582596454,2.0348025679867585,1,1.179593081879299,0,1,0.2508015477108791,1.5553035557973776,0,0.9069426214183978
6719,-0.6521219061028993,-0.2302375994358108,0,0.5422424601527976,0,0,-0.6699353025147827,0.2499055713441416,1,-1.0230312769599528
4753,0.0071179479184547,0.902282484275474,0,0.4215606856247027,0,0,0.0074803578378508,1.5553035557973776,1,0.9069426214183978
1090,0.0597700753521767,0.902282484275474,0,2.554862470772381,0,0,0.0628132653893669,1.5553035557973776,0,1.871929570607573
1318,-0.134538967363331,2.0348025679867585,1,2.992333903436725,0,0,-0.141389011347407,1.5553035557973776,1,2.8369165197967483
119,-1.3420486549225992,-0.2302375994358108,0,-0.1001365688457077,0,0,-1.4103789869829255,0.2499055713441416,1,-1.0230312769599528
7912,0.8168310084046672,-0.2302375994358108,0,-0.6256051287701211,0,0,0.8472447128091181,-1.055492413109094,1,-0.0580443277707774
462,0.9968715801598544,-0.2302375994358108,0,-0.7374871905722091,0,0,0.9656577721053382,0.2499055713441416,1,0.9069426214183978
6021,-0.6591743793409661,0.902282484275474,0,-0.2170470379197996,0,0,-0.4559258745991878,0.2499055713441416,1,0.9069426214183978
1585,-0.1852849845483456,0.902282484275474,1,-0.0121394415856384,0,1,-0.1947187591537164,0.2499055713441416,0,-1.0230312769599528
618,0.9968715801598544,-0.2302375994358108,1,0.2417951256505613,0,0,0.9656577721053382,0.2499055713441416,1,0.9069426214183978
7466,0.0670002603252192,-0.2302375994358108,0,-0.4659531978839955,0,0,0.3932917993137805,0.2499055713441416,1,-1.0230312769599528
373,-0.7568816323404362,-0.2302375994358108,1,0.626468281958864,0,0,-0.8354753491051743,0.2499055713441416,1,-1.0230312769599528
3429,1.7319419502920763,0.902282484275474,1,2.512121008960348,0,0,1.820123677637493,1.5553035557973776,1,-1.0230312769599528
5330,1.0686777492339676,-0.2302375994358108,1,0.4680734528907393,0,0,1.1230894169501808,0.2499055713441416,1,1.871929570607573
5943,-0.6591743793409661,-1.3627576831470956,0,-1.1133606341545048,0,0,-0.4559258745991878,-1.055492413109094,1,-0.0580443277707774
6587,1.0109515509970042,-0.2302375994358108,0,-0.3578424415359104,0,0,1.0624240925648143,-1.055492413109094,1,0.9069426214183978
181,-1.3420486549225992,0.902282484275474,1,1.6786625036256917,0,0,-1.4103789869829255,1.5553035557973776,1,-1.0230312769599528
220,-1.3420486549225992,-1.3627576831470956,0,-0.643204554222135,0,0,-1.4103789869829255,-1.055492413109094,1,-0.0580443277707774
370,-0.7568816323404362,-0.2302375994358108,0,0.4806444710707492,0,0,-0.8354753491051743,0.2499055713441416,1,1.871929570607573
7676,0.936249908663273,-1.3627576831470956,0,-1.3597525904826986,0,0,0.9843705433988322,-2.36089039756233,1,-1.0230312769599528
2576,-0.7850421123982393,0.902282484275474,0,0.5585847837868105,0,0,-0.8459925707660034,0.2499055713441416,1,0.9069426214183978
1822,0.0635554133857029,-0.2302375994358108,0,-0.6859460160341686,1,0,0.2508015477108791,0.2499055713441416,0,-1.0230312769599528
4875,-1.2514441799830305,-1.3627576831470956,0,-0.8807967978243219,0,0,-0.791093452337822,-1.055492413109094,1,-1.0230312769599528
553,0.9968715801598544,2.0348025679867585,0,1.6132932090896404,0,0,0.9656577721053382,2.8607015402506137,1,1.871929570607573
1767,1.6099068582596454,2.0348025679867585,1,0.4253319910787057,0,1,0.2508015477108791,1.5553035557973776,0,0.9069426214183978
5415,-0.7064944957834334,-0.2302375994358108,1,-0.2132757324657967,0,0,-0.6512383074604555,-1.055492413109094,1,-1.0230312769599528
7687,0.936249908663273,-1.3627576831470956,1,-0.8003422814722586,0,0,0.9843705433988322,-1.055492413109094,1,-0.0580443277707774
7845,0.8168310084046672,0.902282484275474,1,0.276993976554589,0,0,0.8472447128091181,0.2499055713441416,1,0.9069426214183978
2697,-0.7850421123982393,0.902282484275474,0,0.9973133182691556,0,0,-0.8459925707660034,0.2499055713441416,1,0.9069426214183978
6275,-0.7909524937455145,-0.2302375994358108,0,-0.5929204815020954,0,0,-0.8312237956415635,0.2499055713441416,0,-1.0230312769599528
4648,0.0071179479184547,-0.2302375994358108,1,1.0488544928071963,0,1,0.0074803578378508,-1.055492413109094,0,0.9069426214183978
5211,1.0686777492339676,0.902282484275474,0,-0.4294972451619668,0,1,1.1230894169501808,0.2499055713441416,0,-0.0580443277707774
3822,-1.3199207478870918,-0.2302375994358108,0,0.0306020202263951,0,0,-1.3871244388006982,0.2499055713441416,1,-1.0230312769599528
5833,-1.2414557483263304,-0.2302375994358108,0,-0.8807967978243219,0,0,-0.4559258745991878,0.2499055713441416,1,0.9069426214183978
1574,-0.1852849845483456,-1.3627576831470956,0,-1.3723236086627086,1,0,-0.1947187591537164,-1.055492413109094,0,-1.0230312769599528
1909,0.0635554133857029,-1.3627576831470956,1,-0.8996533250943367,0,0,0.2508015477108791,-1.055492413109094,1,-1.0230312769599528
4665,0.0071179479184547,0.902282484275474,0,-0.288701841545856,0,0,0.0074803578378508,1.5553035557973776,1,0.9069426214183978
3798,-1.3199207478870918,-1.3627576831470956,0,-0.9977072668984138,0,0,-1.3871244388006982,-1.055492413109094,1,-1.0230312769599528
4541,0.7269397281634156,2.0348025679867585,1,0.8728602382870578,0,1,0.7639518236869677,0.2499055713441416,0,-0.0580443277707774
